                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1413,                  0.882,                      1,                 1.9103,              0.0033257,              0.0033257,              0.0033257
                      2,                 0.3815,                  0.928,                      1,                 1.8569,              0.0065931,              0.0065931,              0.0065931
                      3,                 0.3817,                  0.911,                      1,                 1.8726,              0.0097945,              0.0097945,              0.0097945
                      4,                0.45841,                  0.889,                      1,                 1.8774,               0.009703,               0.009703,               0.009703
                      5,                0.41768,                  0.905,                  0.997,                 1.8604,               0.009604,               0.009604,               0.009604
                      6,                0.35527,                  0.917,                  0.999,                  1.857,               0.009505,               0.009505,               0.009505
                      7,                0.30564,                  0.892,                      1,                 1.8764,               0.009406,               0.009406,               0.009406
                      8,                0.30333,                  0.936,                      1,                 1.8291,               0.009307,               0.009307,               0.009307
                      9,                0.27393,                  0.923,                      1,                 1.8419,               0.009208,               0.009208,               0.009208
                     10,                  0.256,                  0.929,                  0.999,                 1.8441,               0.009109,               0.009109,               0.009109
                     11,                 0.2483,                  0.937,                      1,                 1.8336,                0.00901,                0.00901,                0.00901
                     12,                 0.2453,                  0.946,                  0.999,                 1.8262,               0.008911,               0.008911,               0.008911
                     13,                0.22923,                  0.952,                  0.999,                 1.8219,               0.008812,               0.008812,               0.008812
                     14,                 0.2222,                  0.946,                      1,                  1.821,               0.008713,               0.008713,               0.008713
                     15,                0.21531,                   0.94,                      1,                 1.8296,               0.008614,               0.008614,               0.008614
                     16,                0.21019,                  0.944,                      1,                 1.8293,               0.008515,               0.008515,               0.008515
                     17,                0.21656,                  0.927,                      1,                 1.8446,               0.008416,               0.008416,               0.008416
                     18,                0.19517,                  0.949,                      1,                 1.8264,               0.008317,               0.008317,               0.008317
                     19,                0.18739,                  0.944,                      1,                 1.8231,               0.008218,               0.008218,               0.008218
                     20,                0.19038,                  0.952,                      1,                  1.817,               0.008119,               0.008119,               0.008119
                     21,                0.18329,                  0.946,                      1,                  1.819,                0.00802,                0.00802,                0.00802
                     22,                0.18226,                  0.941,                  0.999,                 1.8206,               0.007921,               0.007921,               0.007921
                     23,                0.18251,                  0.948,                  0.999,                 1.8168,               0.007822,               0.007822,               0.007822
                     24,                0.17473,                  0.952,                  0.999,                 1.8176,               0.007723,               0.007723,               0.007723
                     25,                0.17757,                   0.95,                      1,                 1.8231,               0.007624,               0.007624,               0.007624
                     26,                0.17124,                  0.944,                      1,                 1.8182,               0.007525,               0.007525,               0.007525
                     27,                0.16545,                  0.956,                      1,                 1.8205,               0.007426,               0.007426,               0.007426
                     28,                0.16165,                  0.951,                      1,                 1.8139,               0.007327,               0.007327,               0.007327
                     29,                0.14936,                  0.943,                      1,                 1.8192,               0.007228,               0.007228,               0.007228
                     30,                 0.1621,                   0.95,                      1,                 1.8139,               0.007129,               0.007129,               0.007129
                     31,                0.15929,                  0.951,                  0.999,                 1.8178,                0.00703,                0.00703,                0.00703
                     32,                0.15332,                  0.958,                      1,                 1.8081,               0.006931,               0.006931,               0.006931
                     33,                0.14142,                  0.954,                      1,                   1.81,               0.006832,               0.006832,               0.006832
                     34,                0.13602,                  0.953,                      1,                 1.8071,               0.006733,               0.006733,               0.006733
                     35,                0.14665,                  0.946,                  0.999,                 1.8173,               0.006634,               0.006634,               0.006634
                     36,                0.14468,                  0.953,                  0.999,                 1.8115,               0.006535,               0.006535,               0.006535
                     37,                0.14614,                  0.943,                      1,                 1.8189,               0.006436,               0.006436,               0.006436
                     38,                0.15263,                  0.953,                      1,                 1.8135,               0.006337,               0.006337,               0.006337
                     39,                0.13495,                  0.953,                      1,                 1.8113,               0.006238,               0.006238,               0.006238
                     40,                0.13677,                   0.95,                      1,                  1.814,               0.006139,               0.006139,               0.006139
                     41,                0.12505,                  0.949,                      1,                 1.8115,                0.00604,                0.00604,                0.00604
                     42,                0.12765,                  0.958,                      1,                 1.8048,               0.005941,               0.005941,               0.005941
                     43,                0.12327,                  0.955,                  0.999,                 1.8073,               0.005842,               0.005842,               0.005842
                     44,                0.12162,                  0.958,                      1,                 1.8075,               0.005743,               0.005743,               0.005743
                     45,                0.13534,                  0.954,                      1,                 1.8085,               0.005644,               0.005644,               0.005644
                     46,                0.11519,                  0.953,                      1,                 1.8055,               0.005545,               0.005545,               0.005545
                     47,                0.12733,                   0.95,                      1,                  1.812,               0.005446,               0.005446,               0.005446
                     48,                0.12786,                  0.951,                      1,                 1.8086,               0.005347,               0.005347,               0.005347
                     49,                0.12726,                   0.95,                      1,                  1.812,               0.005248,               0.005248,               0.005248
                     50,                0.12272,                  0.954,                      1,                 1.8072,               0.005149,               0.005149,               0.005149
                     51,                0.12385,                  0.949,                      1,                 1.8114,                0.00505,                0.00505,                0.00505
                     52,                0.11912,                  0.956,                      1,                 1.8072,               0.004951,               0.004951,               0.004951
                     53,                0.11972,                  0.952,                      1,                 1.8077,               0.004852,               0.004852,               0.004852
                     54,                0.11445,                  0.953,                      1,                 1.8073,               0.004753,               0.004753,               0.004753
                     55,                0.11466,                  0.954,                      1,                 1.8028,               0.004654,               0.004654,               0.004654
                     56,                0.10632,                  0.956,                      1,                  1.803,               0.004555,               0.004555,               0.004555
                     57,                0.11167,                  0.955,                      1,                 1.8056,               0.004456,               0.004456,               0.004456
                     58,                0.10811,                  0.961,                      1,                 1.8009,               0.004357,               0.004357,               0.004357
                     59,                0.10793,                  0.961,                      1,                 1.7999,               0.004258,               0.004258,               0.004258
                     60,                0.09932,                  0.963,                      1,                 1.7989,               0.004159,               0.004159,               0.004159
                     61,                 0.1034,                   0.96,                      1,                 1.8006,                0.00406,                0.00406,                0.00406
                     62,                0.10352,                  0.957,                      1,                 1.8026,               0.003961,               0.003961,               0.003961
                     63,                0.09729,                  0.955,                      1,                 1.8059,               0.003862,               0.003862,               0.003862
                     64,                0.09872,                  0.959,                      1,                 1.8033,               0.003763,               0.003763,               0.003763
                     65,                0.09649,                  0.952,                      1,                 1.8038,               0.003664,               0.003664,               0.003664
                     66,                 0.0926,                  0.958,                      1,                 1.8004,               0.003565,               0.003565,               0.003565
                     67,                0.09679,                  0.959,                      1,                 1.8003,               0.003466,               0.003466,               0.003466
                     68,                0.08392,                  0.964,                      1,                 1.7959,               0.003367,               0.003367,               0.003367
                     69,                0.08625,                  0.959,                      1,                 1.8008,               0.003268,               0.003268,               0.003268
                     70,                0.09464,                  0.962,                      1,                 1.7964,               0.003169,               0.003169,               0.003169
                     71,                0.09304,                  0.962,                      1,                 1.7974,                0.00307,                0.00307,                0.00307
                     72,                0.09161,                  0.961,                      1,                 1.8011,               0.002971,               0.002971,               0.002971
                     73,                0.08576,                  0.961,                      1,                 1.7961,               0.002872,               0.002872,               0.002872
                     74,                0.08749,                  0.965,                  0.999,                  1.795,               0.002773,               0.002773,               0.002773
                     75,                0.07917,                  0.963,                  0.999,                 1.7954,               0.002674,               0.002674,               0.002674
                     76,                0.08636,                  0.963,                      1,                 1.7957,               0.002575,               0.002575,               0.002575
                     77,                0.08132,                  0.967,                      1,                 1.7943,               0.002476,               0.002476,               0.002476
                     78,                0.07333,                  0.968,                      1,                 1.7967,               0.002377,               0.002377,               0.002377
                     79,                 0.0774,                  0.962,                      1,                 1.7971,               0.002278,               0.002278,               0.002278
                     80,                0.07639,                  0.962,                      1,                 1.7974,               0.002179,               0.002179,               0.002179
                     81,                   0.08,                  0.957,                      1,                 1.7984,                0.00208,                0.00208,                0.00208
                     82,                0.06749,                  0.961,                      1,                 1.7971,               0.001981,               0.001981,               0.001981
                     83,                0.06925,                  0.962,                      1,                 1.8027,               0.001882,               0.001882,               0.001882
                     84,                0.07021,                  0.963,                      1,                 1.7958,               0.001783,               0.001783,               0.001783
                     85,                0.07597,                  0.963,                      1,                 1.7969,               0.001684,               0.001684,               0.001684
                     86,                0.07261,                  0.962,                      1,                 1.7972,               0.001585,               0.001585,               0.001585
                     87,                 0.0746,                  0.963,                      1,                 1.7952,               0.001486,               0.001486,               0.001486
                     88,                0.06718,                  0.965,                      1,                 1.7943,               0.001387,               0.001387,               0.001387
                     89,                0.06132,                  0.965,                      1,                  1.794,               0.001288,               0.001288,               0.001288
                     90,                0.06353,                  0.967,                      1,                 1.7944,               0.001189,               0.001189,               0.001189
                     91,                0.06354,                  0.968,                      1,                 1.7948,                0.00109,                0.00109,                0.00109
                     92,                   0.06,                  0.967,                      1,                 1.7951,               0.000991,               0.000991,               0.000991
                     93,                0.06694,                  0.965,                      1,                 1.7941,               0.000892,               0.000892,               0.000892
                     94,                0.06125,                  0.966,                      1,                 1.7926,               0.000793,               0.000793,               0.000793
                     95,                 0.0593,                   0.97,                      1,                 1.7919,               0.000694,               0.000694,               0.000694
                     96,                0.06096,                   0.97,                      1,                 1.7921,               0.000595,               0.000595,               0.000595
                     97,                0.06057,                  0.968,                      1,                 1.7925,               0.000496,               0.000496,               0.000496
                     98,                0.05763,                  0.969,                      1,                 1.7924,               0.000397,               0.000397,               0.000397
                     99,                0.05456,                  0.968,                      1,                 1.7923,               0.000298,               0.000298,               0.000298
                    100,                0.05504,                  0.968,                      1,                  1.792,               0.000199,               0.000199,               0.000199
